Year,Area,Stat_Area,Species,Measure,Value
2009,Johnstone Strait,11,Pink Salmon,Pieces,92
2009,Johnstone Strait,12,Pink Salmon,Pieces,13587
2009,Johnstone Strait,13,Pink Salmon,Pieces,0
2009,Strait of Georgia,13,Pink Salmon,Pieces,23726
2009,Strait of Georgia,14,Pink Salmon,Pieces,1330
2009,Strait of Georgia,17,Pink Salmon,Pieces,9
2009,Strait of Georgia,18,Pink Salmon,Pieces,779
2009,Strait of Georgia,19,Pink Salmon,Pieces,2672
2009,Strait of Georgia,28,Pink Salmon,Pieces,303
2009,Strait of Georgia,29,Pink Salmon,Pieces,165
2009,Juan de Fuca Strait,20,Pink Salmon,Pieces,48366
2009,WCVI,21,Pink Salmon,Pieces,71
2009,WCVI,23A,Pink Salmon,Pieces,0
2009,WCVI,23B,Pink Salmon,Pieces,137
2009,WCVI,24,Pink Salmon,Pieces,8
2009,WCVI,25,Pink Salmon,Pieces,45
2009,WCVI,26,Pink Salmon,Pieces,659
2009,WCVI,27,Pink Salmon,Pieces,260
2009,WCVI,121,Pink Salmon,Pieces,373
2009,WCVI,123,Pink Salmon,Pieces,935
2009,WCVI,124,Pink Salmon,Pieces,172
2009,WCVI,125,Pink Salmon,Pieces,409
2009,WCVI,126,Pink Salmon,Pieces,2375
2009,WCVI,127,Pink Salmon,Pieces,575
2009,NorthCentral,1,Sockeye Salmon,Pieces,70
2009,NorthCentral,2E,Sockeye Salmon,Pieces,0
2009,NorthCentral,2W,Sockeye Salmon,Pieces,10
2009,NorthCentral,3,Sockeye Salmon,Pieces,0
2009,NorthCentral,4,Sockeye Salmon,Pieces,20000
2009,NorthCentral,5,Sockeye Salmon,Pieces,0
2009,NorthCentral,6,Sockeye Salmon,Pieces,0
2009,NorthCentral,7,Sockeye Salmon,Pieces,0
2009,NorthCentral,8,Sockeye Salmon,Pieces,0
2009,NorthCentral,9,Sockeye Salmon,Pieces,0
2009,NorthCentral,10,Sockeye Salmon,Pieces,0
2009,Johnstone Strait,11,Sockeye Salmon,Pieces,0
2009,Johnstone Strait,12,Sockeye Salmon,Pieces,48
2009,Johnstone Strait,13,Sockeye Salmon,Pieces,0
2009,Juan de Fuca Strait,20,Sockeye Salmon,Pieces,198
2009,WCVI,21,Sockeye Salmon,Pieces,0
2009,WCVI,23A,Sockeye Salmon,Pieces,0
2009,WCVI,23B,Sockeye Salmon,Pieces,57837
2009,WCVI,24,Sockeye Salmon,Pieces,0
2009,WCVI,25,Sockeye Salmon,Pieces,31
2009,WCVI,26,Sockeye Salmon,Pieces,0
2009,WCVI,27,Sockeye Salmon,Pieces,3
2009,WCVI,121,Sockeye Salmon,Pieces,5
2009,WCVI,123,Sockeye Salmon,Pieces,28
2009,WCVI,124,Sockeye Salmon,Pieces,0
2009,WCVI,125,Sockeye Salmon,Pieces,22
2009,WCVI,126,Sockeye Salmon,Pieces,0
2009,WCVI,127,Sockeye Salmon,Pieces,0
2009,NorthCentral,1,Chum Salmon,Pieces,700
2009,NorthCentral,2E,Chum Salmon,Pieces,0
2009,NorthCentral,2W,Chum Salmon,Pieces,200
2009,NorthCentral,3,Chum Salmon,Pieces,0
2009,NorthCentral,4,Chum Salmon,Pieces,0
2009,NorthCentral,5,Chum Salmon,Pieces,0
2009,NorthCentral,6,Chum Salmon,Pieces,0
2009,NorthCentral,7,Chum Salmon,Pieces,51
2009,NorthCentral,8,Chum Salmon,Pieces,53
2009,NorthCentral,9,Chum Salmon,Pieces,23
2009,NorthCentral,10,Chum Salmon,Pieces,0
2009,Johnstone Strait,11,Chum Salmon,Pieces,10
2009,Johnstone Strait,12,Chum Salmon,Pieces,91
2009,Johnstone Strait,13,Chum Salmon,Pieces,0
2009,Strait of Georgia,13,Chum Salmon,Pieces,67
2009,Strait of Georgia,19,Chum Salmon,Pieces,9
2009,Juan de Fuca Strait,20,Chum Salmon,Pieces,113
2009,WCVI,21,Chum Salmon,Pieces,0
2009,WCVI,23A,Chum Salmon,Pieces,0
2009,WCVI,23B,Chum Salmon,Pieces,61
2009,WCVI,24,Chum Salmon,Pieces,2
2009,WCVI,25,Chum Salmon,Pieces,4
2009,WCVI,26,Chum Salmon,Pieces,28
2009,WCVI,27,Chum Salmon,Pieces,35
2009,WCVI,121,Chum Salmon,Pieces,1
2009,WCVI,123,Chum Salmon,Pieces,9
2009,WCVI,124,Chum Salmon,Pieces,0
2009,WCVI,125,Chum Salmon,Pieces,21
2009,WCVI,126,Chum Salmon,Pieces,85
2009,WCVI,127,Chum Salmon,Pieces,64
2009,Johnstone Strait,11,NA,Boat Effort,1198
2009,Johnstone Strait,12,NA,Boat Effort,15079
2009,Johnstone Strait,13,NA,Boat Effort,0
2009,Strait of Georgia,13,NA,Boat Effort,19544
2009,Strait of Georgia,14,NA,Boat Effort,11243
2009,Strait of Georgia,15,NA,Boat Effort,1910
2009,Strait of Georgia,16,NA,Boat Effort,2420
2009,Strait of Georgia,17,NA,Boat Effort,11133
2009,Strait of Georgia,18,NA,Boat Effort,3818
2009,Strait of Georgia,19,NA,Boat Effort,16268
2009,Strait of Georgia,28,NA,Boat Effort,5102
2009,Strait of Georgia,29,NA,Boat Effort,4336
2009,Juan de Fuca Strait,20,NA,Boat Effort,48856
2009,WCVI,21,NA,Boat Effort,410
2009,WCVI,23A,NA,Boat Effort,0
2009,WCVI,23B,NA,Boat Effort,34632
2009,WCVI,24,NA,Boat Effort,1287
2009,WCVI,25,NA,Boat Effort,7992
2009,WCVI,26,NA,Boat Effort,448
2009,WCVI,27,NA,Boat Effort,4456
2009,WCVI,121,NA,Boat Effort,1560
2009,WCVI,123,NA,Boat Effort,8078
2009,WCVI,124,NA,Boat Effort,3578
2009,WCVI,125,NA,Boat Effort,3147
2009,WCVI,126,NA,Boat Effort,1595
2009,WCVI,127,NA,Boat Effort,3092
2008,NorthCentral,1,NA,Angler Effort,0
2008,NorthCentral,2E,NA,Angler Effort,0
2008,NorthCentral,2W,NA,Angler Effort,0
2008,NorthCentral,3,NA,Angler Effort,0
2008,NorthCentral,4,NA,Angler Effort,0
2008,NorthCentral,5,NA,Angler Effort,0
2008,NorthCentral,6,NA,Angler Effort,9322
2008,NorthCentral,7,NA,Angler Effort,8255
2008,NorthCentral,8,NA,Angler Effort,0
2008,NorthCentral,9,NA,Angler Effort,13028
2008,NorthCentral,10,NA,Angler Effort,0
