"SPECIES_GROUP","YEAR","DISTRICT","AREA","SPECIES","AMOUNT","VALUE","COUNT","PRICE","SIZE"
"Salmon","1996","FRASERRIVER","29D","CHUM",35831,28849,6894,0.805140799866038,5.19741804467653
"Salmon","1996","NORTHCOAST","1","CHUM",101873,126939,23932,1.24605145622491,4.25676917934147
"Salmon","1996","NORTHCOAST","2E","CHUM",517962,371566,123462,0.717361505284171,4.19531515770035
"Salmon","1996","NORTHCOAST","2W","CHUM",4108,4305,1061,1.04795520934761,3.87181903864279
"Salmon","1996","NORTHCOAST","3","CHUM",1320541,1074340,247044,0.813560502854512,5.34536762681951
"Salmon","1996","NORTHCOAST","4","CHUM",784903,630496,146732,0.803278876498115,5.34922852547502
"Salmon","1996","NORTHCOAST","5","CHUM",116776,93553,21256,0.801132081934644,5.49378998870907
"Salmon","1996","NORTHCOAST","6","CHUM",174319,138775,30540,0.796097958340743,5.70789129011133
"Salmon","1996","NORTHCOAST","7","CHUM",285471,219572,64853,0.769156937131968,4.40181641558602
"Salmon","1996","NORTHCOAST","8","CHUM",1561201,1232179,275947,0.789250711471489,5.65761178777084
"Salmon","1996","NORTHCOAST","10","CHUM",7822,NA,1332,NA,5.87237237237237
"Salmon","1996","SOUTHCOAST","11","CHUM",583,392,94,0.672384219554031,6.20212765957447
"Salmon","1996","SOUTHCOAST","12","CHUM",233246,184577,47201,0.791340473148521,4.94154784856253
"Salmon","1996","SOUTHCOAST","13","CHUM",178938,140891,35007,0.787373280130548,5.11149198731682
"Salmon","1996","SOUTHCOAST","18","CHUM",1592,965,302,0.606155778894472,5.27152317880795
"Salmon","1996","SOUTHCOAST","19","CHUM",4699,3678,1036,0.782719727601617,4.53571428571429
"Salmon","1996","SOUTHCOAST","20","CHUM",2504,1974,529,0.788338658146965,4.73345935727788
"Salmon","1996","SOUTHCOAST","21","CHUM",1200355,936346,342602,0.780057566303302,3.50364271078394
"Salmon","1996","SOUTHCOAST","23","CHUM",2370,2741,580,1.15654008438819,4.08620689655172
"Salmon","1996","SOUTHCOAST","24","CHUM",8452,8902,2017,1.05324183625177,4.1903817550818
"Salmon","1996","SOUTHCOAST","25","CHUM",1315,1211,252,0.920912547528517,5.21825396825397
"Salmon","1996","SOUTHCOAST","26","CHUM",2989,3531,572,1.18133154901305,5.22552447552448
"Salmon","1996","SOUTHCOAST","27","CHUM",5208,6571,965,1.26171274961598,5.39689119170984
"Salmon","1996","FARNORTH","441(TAKU)","COHO",18408,36515,4819,1.98364841373316,3.81987964307948
"Salmon","1996","FARNORTH","442(STIKINE)","COHO",4718,7749,1313,1.64243323442137,3.59329779131759
"Salmon","1996","FRASERRIVER","29AB","COHO",472,1873,171,3.96822033898305,2.76023391812865
"Salmon","1996","FRASERRIVER","29C","COHO",3079,13410,1,4.35531016563819,3079
"Salmon","1996","FRASERRIVER","29D","COHO",2826,4642,701,1.64260438782732,4.03138373751783
"Salmon","1996","NORTHCOAST","1","COHO",901292,2798869,252875,3.10539647528215,3.56417993079585
"Salmon","1996","NORTHCOAST","2E","COHO",66010,202457,18598,3.0670655961218,3.54930637702979
"Salmon","1996","NORTHCOAST","2W","COHO",5262,17815,1286,3.38559483086279,4.09175738724728
"Salmon","1996","NORTHCOAST","3","COHO",555774,1416313,155454,2.54836138430369,3.57516693041028
"Salmon","1996","NORTHCOAST","4","COHO",303470,626047,90607,2.06296174251162,3.34929972297946
"Salmon","1996","NORTHCOAST","5","COHO",130373,350774,37648,2.69054175327714,3.46294623884403
"Salmon","1996","NORTHCOAST","6","COHO",69377,165049,19941,2.37901610043674,3.47911338448423
"Salmon","1996","NORTHCOAST","7","COHO",14172,24950,3994,1.76051368896415,3.54832248372559
"Salmon","1996","NORTHCOAST","8","COHO",80119,149528,22054,1.86632384328312,3.63285571778362
"Salmon","1996","NORTHCOAST","10","COHO",4056,NA,1123,NA,3.61175422974176
"Salmon","1996","SOUTHCOAST","11","COHO",847,1257,201,1.4840613931523,4.21393034825871
"Salmon","1996","SOUTHCOAST","12","COHO",17008,31916,5866,1.87652869238006,2.89942038868053
"Salmon","1996","SOUTHCOAST","13","COHO",1919,3088,708,1.60917144346014,2.71045197740113
"Salmon","1996","SOUTHCOAST","16","COHO",658,4350,1,6.61094224924012,658
"Salmon","1996","SOUTHCOAST","18","COHO",5,17,2,3.4,2.5
"Salmon","1996","SOUTHCOAST","20","COHO",8724,14900,4578,1.70793214121962,1.90563564875491
"Salmon","1996","SOUTHCOAST","21","COHO",132536,362446,67622,2.73469849701213,1.95995386116944
"Salmon","1996","SOUTHCOAST","23","COHO",735981,2060057,376034,2.79906274754375,1.95721929400001
"Salmon","1996","SOUTHCOAST","24","COHO",219044,583559,111829,2.66411771151002,1.95874057713116
"Salmon","1996","SOUTHCOAST","25","COHO",130854,366223,51777,2.79871459794886,2.52726113911582
"Salmon","1996","SOUTHCOAST","26","COHO",219254,612705,85550,2.79449861804118,2.56287551139684
"Salmon","1996","SOUTHCOAST","27","COHO",255193,690783,99747,2.70690418624335,2.55840275898022
"Salmon","1996","FARNORTH","442(STIKINE)","PINK",39,23,24,0.58974358974359,1.625
"Salmon","1996","FRASERRIVER","29AB","PINK",16,14,10,0.875,1.6
"Salmon","1996","FRASERRIVER","29D","PINK",56,33,19,0.589285714285714,2.94736842105263
"Salmon","1996","NORTHCOAST","1","PINK",1803316,1446773,1239426,0.802284790907417,1.45496060273062
"Salmon","1996","NORTHCOAST","2E","PINK",37221,23101,26451,0.620644259960775,1.40716797096518
"Salmon","1996","NORTHCOAST","2W","PINK",17,10,12,0.588235294117647,1.41666666666667
"Salmon","1996","NORTHCOAST","3","PINK",2457209,1473569,1676916,0.599692171077023,1.46531430316128
"Salmon","1996","NORTHCOAST","4","PINK",2458483,1434996,1657862,0.583691650501549,1.48292378979674
"Salmon","1996","NORTHCOAST","5","PINK",439728,261468,299138,0.594613033511625,1.46998375331787
"Salmon","1996","NORTHCOAST","6","PINK",716506,424052,506811,0.591833145849442,1.41375384512175
"Salmon","1996","NORTHCOAST","7","PINK",29931,17465,20357,0.583508736761218,1.47030505477231
"Salmon","1996","NORTHCOAST","8","PINK",584086,339593,402459,0.581409244529059,1.45129317520542
"Salmon","1996","NORTHCOAST","10","PINK",1262,NA,738,NA,1.710027100271
"Salmon","1996","SOUTHCOAST","11","PINK",823,411,474,0.499392466585662,1.73628691983122
"Salmon","1996","SOUTHCOAST","12","PINK",52905,31896,44161,0.602891976183726,1.1980027626186
"Salmon","1996","SOUTHCOAST","13","PINK",20102,13154,15988,0.654362749975127,1.25731798849137
"Salmon","1996","SOUTHCOAST","18","PINK",3,3,2,1,1.5
"Salmon","1996","SOUTHCOAST","19","PINK",4699,3678,1,0.782719727601617,4699
"Salmon","1996","SOUTHCOAST","20","PINK",315,184,198,0.584126984126984,1.59090909090909
"Salmon","1996","SOUTHCOAST","21","PINK",85,198,66,2.32941176470588,1.28787878787879
"Salmon","1996","SOUTHCOAST","23","PINK",669,904,468,1.35127055306428,1.42948717948718
"Salmon","1996","SOUTHCOAST","24","PINK",348,343,277,0.985632183908046,1.25631768953069
"Salmon","1996","SOUTHCOAST","25","PINK",218,360,168,1.65137614678899,1.29761904761905
"Salmon","1996","SOUTHCOAST","26","PINK",619,487,469,0.786752827140549,1.31982942430704
"Salmon","1996","SOUTHCOAST","27","PINK",16496,15594,12768,0.945320077594568,1.29197994987469
"Salmon","1996","FARNORTH","441(TAKU)","SOCKEYE",120697,610700,41427,5.05977779066588,2.91348637362107
"Salmon","1996","FARNORTH","442(STIKINE)","SOCKEYE",213104,1026530,65878,4.81703769051731,3.23482801542245
"Salmon","1996","FRASERRIVER","29AB","SOCKEYE",1980587,9215526,692050,4.65292663235697,2.86191315656383
"Salmon","1996","FRASERRIVER","29C","SOCKEYE",3082,13412,1081,4.35171966255678,2.85106382978723
"Salmon","1996","FRASERRIVER","29D","SOCKEYE",79899,375349,28408,4.69779346424861,2.8125528020276
"Salmon","1996","NORTHCOAST","1","SOCKEYE",46896,318615,18842,6.79407625383828,2.48890775926122
"Salmon","1996","NORTHCOAST","2E","SOCKEYE",1071,7475,416,6.97945845004669,2.57451923076923
"Salmon","1996","NORTHCOAST","3","SOCKEYE",2714232,13472545,1055663,4.96366743889248,2.57111597166899
"Salmon","1996","NORTHCOAST","4","SOCKEYE",8824662,44309098,3450558,5.02105327093548,2.55745940221842
"Salmon","1996","NORTHCOAST","5","SOCKEYE",610692,3036605,251800,4.97240016243868,2.42530579825258
"Salmon","1996","NORTHCOAST","6","SOCKEYE",41385,206190,17332,4.98223994200797,2.38777982921763
"Salmon","1996","NORTHCOAST","7","SOCKEYE",1465,7316,531,4.9938566552901,2.75894538606403
"Salmon","1996","NORTHCOAST","8","SOCKEYE",70180,371729,25932,5.2967939583927,2.70630880765078
"Salmon","1996","NORTHCOAST","10","SOCKEYE",25402,NA,8702,NA,2.91909905768789
"Salmon","1996","SOUTHCOAST","11","SOCKEYE",16579,82289,6849,4.96344773508656,2.42064534968609
"Salmon","1996","SOUTHCOAST","12","SOCKEYE",281325,1420646,98495,5.04983915400338,2.85623635717549
"Salmon","1996","SOUTHCOAST","13","SOCKEYE",229255,1268513,77047,5.53319665874245,2.97552143496827
"Salmon","1996","SOUTHCOAST","16","SOCKEYE",658,4350,217,6.61094224924012,3.03225806451613
"Salmon","1996","SOUTHCOAST","18","SOCKEYE",15146,105094,4996,6.93872969760993,3.03162530024019
"Salmon","1996","SOUTHCOAST","20","SOCKEYE",364922,1793326,126741,4.91427209102219,2.8792734789847
"Salmon","1996","SOUTHCOAST","21","SOCKEYE",313,2029,104,6.48242811501597,3.00961538461538
"Salmon","1996","SOUTHCOAST","23","SOCKEYE",11360,62839,4560,5.53160211267606,2.49122807017544
"Salmon","1996","SOUTHCOAST","24","SOCKEYE",201,1365,67,6.7910447761194,3
"Salmon","1996","SOUTHCOAST","25","SOCKEYE",40,267,14,6.675,2.85714285714286
"Salmon","1996","SOUTHCOAST","26","SOCKEYE",209,1370,73,6.55502392344498,2.86301369863014
"Salmon","1996","SOUTHCOAST","27","SOCKEYE",325,2092,113,6.43692307692308,2.87610619469027
"Salmon","1996","FARNORTH","441(TAKU)","STEELHEAD",118,191,35,1.61864406779661,3.37142857142857
"Salmon","1996","FARNORTH","442(STIKINE)","STEELHEAD",531,852,148,1.6045197740113,3.58783783783784
"Salmon","1996","FRASERRIVER","29D","STEELHEAD",928,1483,152,1.59806034482759,6.10526315789474
"Salmon","1996","NORTHCOAST","1","STEELHEAD",5,5,1,1,5
"Salmon","1996","NORTHCOAST","2W","STEELHEAD",9386,22130,1,2.35776688685276,9386
"Salmon","1996","NORTHCOAST","3","STEELHEAD",97,159,31,1.63917525773196,3.12903225806452
"Salmon","1996","NORTHCOAST","4","STEELHEAD",892,1469,281,1.64686098654709,3.17437722419929
"Salmon","1996","NORTHCOAST","5","STEELHEAD",34,54,10,1.58823529411765,3.4
"Salmon","1996","NORTHCOAST","6","STEELHEAD",3,4,1,1.33333333333333,3
"Salmon","1996","NORTHCOAST","8","STEELHEAD",294,473,69,1.60884353741497,4.26086956521739
"Salmon","1996","NORTHCOAST","10","STEELHEAD",12,NA,3,NA,4
"Salmon","1996","SOUTHCOAST","12","STEELHEAD",21,33,7,1.57142857142857,3
"Salmon","1996","SOUTHCOAST","13","STEELHEAD",9,15,4,1.66666666666667,2.25
"Salmon","1996","SOUTHCOAST","20","STEELHEAD",252,402,94,1.5952380952381,2.68085106382979
"Salmon","1996","SOUTHCOAST","23","STEELHEAD",15,18,9,1.2,1.66666666666667
"Salmon","1996","SOUTHCOAST","24","STEELHEAD",6,13,4,2.16666666666667,1.5
"Salmon","1996","SOUTHCOAST","25","STEELHEAD",5,10,2,2,2.5
"Salmon","1996","SOUTHCOAST","26","STEELHEAD",6,16,2,2.66666666666667,3
"Salmon","1996","SOUTHCOAST","27","STEELHEAD",3,7,1,2.33333333333333,3
"Salmon","1997"," FRASER RIVER ","29AB","CHINOOK",155856,433164,23889,2.77925777640899,6.52417430616602
"Salmon","1997"," FRASER RIVER ","29C","CHINOOK",143,401,25,2.8041958041958,5.72
"Salmon","1997"," FRASER RIVER ","29D","CHINOOK",39513,90579,4875,2.29238478475438,8.10523076923077
"Salmon","1997"," FRASER RIVER ","29E","CHINOOK",162,432,20,2.66666666666667,8.1
"Salmon","1997"," NORTH COAST ","1","CHINOOK",480643,1879469,56155,3.91032221420056,8.55922001602707
"Salmon","1997"," NORTH COAST ","2E","CHINOOK",123735,513114,13858,4.14687840950418,8.92877760138548
"Salmon","1997"," NORTH COAST ","2W","CHINOOK",112837,490511,11086,4.34707587050347,10.1783330326538
"Salmon","1997"," NORTH COAST ","3","CHINOOK",46100,136581,6372,2.9627114967462,7.23477715003139
"Salmon","1997"," NORTH COAST ","4","CHINOOK",131902,400163,17494,3.03379023820715,7.53984223162227
"Salmon","1997"," NORTH COAST ","5","CHINOOK",29491,113774,3595,3.85792275609508,8.20333796940195
"Salmon","1997"," NORTH COAST ","6","CHINOOK",43159,170182,5278,3.94314048054867,8.17715043577113
"Salmon","1997"," NORTH COAST ","7","CHINOOK",31061,117337,3679,3.77763111297125,8.44278336504485
"Salmon","1997"," NORTH COAST ","8","CHINOOK",30678,89786,3418,2.92672273290306,8.9754242246928
"Salmon","1997"," NORTH COAST ","9","CHINOOK",26,72,5,2.76923076923077,5.2
"Salmon","1997"," NORTH COAST ","10","CHINOOK",1877,7279,235,3.8779968034097,7.98723404255319
"Salmon","1997"," SOUTH COAST ","11","CHINOOK",717,2007,134,2.79916317991632,5.35074626865672
"Salmon","1997"," SOUTH COAST ","12","CHINOOK",13493,43261,2084,3.20618098273179,6.47456813819578
"Salmon","1997"," SOUTH COAST ","13","CHINOOK",4979,14713,807,2.95501104639486,6.16976456009913
"Salmon","1997"," SOUTH COAST ","16","CHINOOK",43,166,6,3.86046511627907,7.16666666666667
"Salmon","1997"," SOUTH COAST ","18","CHINOOK",417,1367,77,3.27817745803357,5.41558441558442
"Salmon","1997"," SOUTH COAST ","20","CHINOOK",1737,4250,386,2.44674726540012,4.5
"Salmon","1997"," SOUTH COAST ","21","CHINOOK",72,207,10,2.875,7.2
"Salmon","1997"," SOUTH COAST ","23","CHINOOK",151383,448839,25695,2.96492340619488,5.89153531815528
"Salmon","1997"," SOUTH COAST ","24","CHINOOK",8355,23297,1279,2.78839018551765,6.53244722439406
"Salmon","1997"," SOUTH COAST ","25","CHINOOK",28173,95140,3721,3.37699215560998,7.57135178715399
"Salmon","1997"," SOUTH COAST ","26","CHINOOK",111294,364330,14495,3.27358168454724,7.67809589513625
"Salmon","1997"," SOUTH COAST ","27","CHINOOK",70646,245852,8632,3.48005548792571,8.18419833178869
"Salmon","1997"," UNSP DISTRICT ","441(TAKU)","CHINOOK",24045,72293,2777,3.00657101268455,8.65862441483615
"Salmon","1997"," UNSP DISTRICT ","442(STIKINE)","CHINOOK",19361,55687,2287,2.87624606167037,8.46567555749891
"Salmon","1997"," FRASER RIVER ","29AB","CHUM",68029,52653,13482,0.773978744359023,5.04591306927755
"Salmon","1997"," FRASER RIVER ","29D","CHUM",37969,26786,6753,0.705470252047723,5.62253813120095
"Salmon","1997"," NORTH COAST ","1","CHUM",352173,326558,82406,0.927265860812726,4.27363298788923
"Salmon","1997"," NORTH COAST ","2E","CHUM",231320,170020,50389,0.734999135396853,4.59068447478616
"Salmon","1997"," NORTH COAST ","2W","CHUM",20008,21680,4677,1.08356657337065,4.2779559546718
"Salmon","1997"," NORTH COAST ","3","CHUM",550657,407795,119576,0.740560820982935,4.60507961463839
"Salmon","1997"," NORTH COAST ","4","CHUM",274809,198085,62182,0.720809726027896,4.41943006014602
"Salmon","1997"," NORTH COAST ","5","CHUM",30202,21656,6777,0.717038606714787,4.45654419359599
"Salmon","1997"," NORTH COAST ","6","CHUM",52429,38707,12079,0.738274619008564,4.34050832022518
"Salmon","1997"," NORTH COAST ","7","CHUM",230590,169014,55933,0.732963268138254,4.12261098099512
"Salmon","1997"," NORTH COAST ","8","CHUM",1073001,769464,234661,0.717113963547098,4.57255786006196
"Salmon","1997"," NORTH COAST ","9","CHUM",18,14,5,0.777777777777778,3.6
"Salmon","1997"," NORTH COAST ","10","CHUM",5306,6576,1106,1.2393516773464,4.79746835443038
"Salmon","1997"," SOUTH COAST ","11","CHUM",3589,2669,791,0.743661186960156,4.53729456384324
"Salmon","1997"," SOUTH COAST ","12","CHUM",426022,323168,74213,0.758571153602396,5.74053063479444
"Salmon","1997"," SOUTH COAST ","13","CHUM",178795,135533,27374,0.758035739254453,6.5315627968145
"Salmon","1997"," SOUTH COAST ","16","CHUM",1843,1354,339,0.734671730873576,5.43657817109145
"Salmon","1997"," SOUTH COAST ","18","CHUM",1216,865,256,0.711348684210526,4.75
"Salmon","1997"," SOUTH COAST ","20","CHUM",1649,1233,418,0.747725894481504,3.94497607655502
"Salmon","1997"," SOUTH COAST ","21","CHUM",4760070,3526116,1048722,0.740769778595693,4.53892451955809
"Salmon","1997"," SOUTH COAST ","23","CHUM",292,324,67,1.10958904109589,4.35820895522388
"Salmon","1997"," SOUTH COAST ","24","CHUM",81,70,20,0.864197530864197,4.05
"Salmon","1997"," SOUTH COAST ","25","CHUM",384196,276339,89079,0.719265687305438,4.31298061271456
"Salmon","1997"," SOUTH COAST ","26","CHUM",158,147,38,0.930379746835443,4.15789473684211
"Salmon","1997"," SOUTH COAST ","27","CHUM",778,774,193,0.994858611825193,4.03108808290155
"Salmon","1997"," UNSP DISTRICT ","441(TAKU)","CHUM",5,6,1,1.2,5
"Salmon","1997"," UNSP DISTRICT ","442(STIKINE)","CHUM",941,679,236,0.721572794899044,3.98728813559322
"Salmon","1997"," FRASER RIVER ","29AB","COHO",973,1395,442,1.43371017471737,2.20135746606335
"Salmon","1997"," FRASER RIVER ","29C","COHO",3,4,1,1.33333333333333,3
"Salmon","1997"," FRASER RIVER ","29D","COHO",903,1294,301,1.43300110741971,3
"Salmon","1997"," FRASER RIVER ","29E","COHO",106,95,62,0.89622641509434,1.70967741935484
"Salmon","1997"," NORTH COAST ","1","COHO",436848,1162901,131367,2.66202660879757,3.32540135650506
"Salmon","1997"," NORTH COAST ","2E","COHO",37413,91966,11333,2.4581295271697,3.30124415423983
"Salmon","1997"," NORTH COAST ","2W","COHO",38562,106045,10808,2.74998703386754,3.5679126572909
"Salmon","1997"," NORTH COAST ","3","COHO",21214,33628,6967,1.58517959837843,3.04492608009186
"Salmon","1997"," NORTH COAST ","4","COHO",94286,190537,29459,2.02084084593683,3.20058386231712
"Salmon","1997"," NORTH COAST ","5","COHO",20193,44303,6007,2.19397811122666,3.36157815881472
"Salmon","1997"," NORTH COAST ","6","COHO",21383,48766,6722,2.28059673572464,3.181047307349
"Salmon","1997"," NORTH COAST ","7","COHO",22447,41245,6971,1.83743930146567,3.22005451154784
"Salmon","1997"," NORTH COAST ","8","COHO",27826,42332,8864,1.52131100409689,3.13921480144404
"Salmon","1997"," NORTH COAST ","9","COHO",292,691,82,2.36643835616438,3.5609756097561
"Salmon","1997"," NORTH COAST ","10","COHO",1666,4544,490,2.72749099639856,3.4
"Salmon","1997"," SOUTH COAST ","11","COHO",1605,2308,462,1.4380062305296,3.47402597402597
"Salmon","1997"," SOUTH COAST ","12","COHO",15863,25866,6271,1.63058690033411,2.52958060915324
"Salmon","1997"," SOUTH COAST ","13","COHO",619,991,241,1.60096930533118,2.56846473029046
"Salmon","1997"," SOUTH COAST ","20","COHO",823,1190,401,1.44592952612394,2.05236907730673
"Salmon","1997"," SOUTH COAST ","21","COHO",15,22,6,1.46666666666667,2.5
"Salmon","1997"," SOUTH COAST ","23","COHO",25,47,7,1.88,3.57142857142857
"Salmon","1997"," SOUTH COAST ","25","COHO",11,16,3,1.45454545454545,3.66666666666667
"Salmon","1997"," SOUTH COAST ","27","COHO",124,401,38,3.23387096774194,3.26315789473684
"Salmon","1997"," UNSP DISTRICT ","441(TAKU)","COHO",6934,10094,2026,1.45572541101817,3.42250740375123
"Salmon","1997"," UNSP DISTRICT ","442(STIKINE)","COHO",1211,1735,353,1.43270024772915,3.43059490084986
"Salmon","1997"," FRASER RIVER ","29AB","PINK",312720,153543,168152,0.490991941673062,1.85974594414577
"Salmon","1997"," FRASER RIVER ","29C","PINK",333,154,185,0.462462462462462,1.8
"Salmon","1997"," FRASER RIVER ","29D","PINK",15270,7072,8124,0.463130320890635,1.87961595273264
"Salmon","1997"," FRASER RIVER ","29E","PINK",933,3398,405,3.64201500535906,2.3037037037037
"Salmon","1997"," NORTH COAST ","1","PINK",1294836,803914,637925,0.620861638076173,2.0297621193714
"Salmon","1997"," NORTH COAST ","2E","PINK",4424,4276,2324,0.966546112115732,1.90361445783133
"Salmon","1997"," NORTH COAST ","2W","PINK",84805,63092,45000,0.74396556806792,1.88455555555556
"Salmon","1997"," NORTH COAST ","3","PINK",1196420,581024,584291,0.485635479179552,2.0476440677676
"Salmon","1997"," NORTH COAST ","4","PINK",964487,469903,490887,0.487205115258163,1.96478415602776
"Salmon","1997"," NORTH COAST ","5","PINK",56926,28335,28004,0.497751466816569,2.03278103128125
"Salmon","1997"," NORTH COAST ","6","PINK",221929,108218,135108,0.487624420422748,1.64260443497054
"Salmon","1997"," NORTH COAST ","7","PINK",44828,21785,27582,0.485968591059159,1.62526285258502
"Salmon","1997"," NORTH COAST ","8","PINK",794110,381872,426773,0.480880482552795,1.86073158330072
"Salmon","1997"," NORTH COAST ","9","PINK",2,1,1,0.5,2
"Salmon","1997"," NORTH COAST ","10","PINK",8363,6992,4711,0.836063613535812,1.77520696242836
"Salmon","1997"," SOUTH COAST ","11","PINK",26853,18919,14398,0.704539530033888,1.86505070148632
"Salmon","1997"," SOUTH COAST ","12","PINK",4619109,2700037,2505787,0.584536325079144,1.84337655195753
"Salmon","1997"," SOUTH COAST ","13","PINK",1820904,910461,964181,0.500004942599939,1.88854997142653
"Salmon","1997"," SOUTH COAST ","16","PINK",165935,80574,87394,0.485575677223009,1.89870013959768
"Salmon","1997"," SOUTH COAST ","18","PINK",7463,8027,4019,1.07557282594131,1.85692958447375
"Salmon","1997"," SOUTH COAST ","20","PINK",578271,280441,344234,0.484964661897277,1.67987764137186
"Salmon","1997"," SOUTH COAST ","21","PINK",188,87,86,0.462765957446808,2.18604651162791
"Salmon","1997"," SOUTH COAST ","23","PINK",10188,7239,6043,0.710541813898704,1.6859175906007
"Salmon","1997"," SOUTH COAST ","24","PINK",6048,3656,3559,0.604497354497355,1.69935375105367
"Salmon","1997"," SOUTH COAST ","25","PINK",2987,2564,2199,0.858386340810177,1.35834470213734
"Salmon","1997"," SOUTH COAST ","26","PINK",783,424,552,0.541507024265645,1.41847826086957
"Salmon","1997"," SOUTH COAST ","27","PINK",3617,2657,2640,0.734586674039259,1.37007575757576
"Salmon","1997"," UNSP DISTRICT ","442(STIKINE)","PINK",430,280,257,0.651162790697674,1.67315175097276
"Salmon","1997"," FRASER RIVER ","29AB","SOCKEYE",2945696,9439261,1271487,3.20442469283999,2.31673308496272
"Salmon","1997"," FRASER RIVER ","29C","SOCKEYE",7923,25042,3348,3.16067146282974,2.36648745519713
"Salmon","1997"," FRASER RIVER ","29D","SOCKEYE",106132,336968,46154,3.17498963554819,2.29951900160333
"Salmon","1997"," NORTH COAST ","1","SOCKEYE",1290987,4688012,489849,3.6313394325427,2.63547950490866
"Salmon","1997"," NORTH COAST ","2E","SOCKEYE",8275,36514,3437,4.41256797583082,2.4076229269712
"Salmon","1997"," NORTH COAST ","2W","SOCKEYE",410929,1804559,168587,4.39141311516101,2.43748924887447
"Salmon","1997"," NORTH COAST ","3","SOCKEYE",1583937,5195055,582538,3.27983688745196,2.71902777157885
"Salmon","1997"," NORTH COAST ","4","SOCKEYE",3075956,9945325,1126083,3.23324683448008,2.7315535355742
"Salmon","1997"," NORTH COAST ","5","SOCKEYE",55842,182067,20393,3.26039540131084,2.73829255136566
"Salmon","1997"," NORTH COAST ","6","SOCKEYE",21228,72936,9331,3.43583945732052,2.27499732075876
"Salmon","1997"," NORTH COAST ","7","SOCKEYE",3046,10213,1260,3.35292186474064,2.41746031746032
"Salmon","1997"," NORTH COAST ","8","SOCKEYE",86849,286731,31584,3.30148879088994,2.74977836879433
"Salmon","1997"," NORTH COAST ","10","SOCKEYE",1657,7684,645,4.63729631864816,2.56899224806202
"Salmon","1997"," SOUTH COAST ","11","SOCKEYE",264519,901953,117886,3.40978530842775,2.2438542320547
"Salmon","1997"," SOUTH COAST ","12","SOCKEYE",10688311,40002574,4707310,3.74264689715709,2.27057725112644
"Salmon","1997"," SOUTH COAST ","13","SOCKEYE",3515414,11880985,1561568,3.37968301884216,2.25120776040493
"Salmon","1997"," SOUTH COAST ","16","SOCKEYE",292520,974749,128628,3.33224736770135,2.27415492738751
"Salmon","1997"," SOUTH COAST ","18","SOCKEYE",5819,30298,2853,5.20673655267228,2.03960743077462
"Salmon","1997"," SOUTH COAST ","20","SOCKEYE",709134,2347850,302909,3.31086931383913,2.34107933405742
"Salmon","1997"," SOUTH COAST ","21","SOCKEYE",201,634,95,3.15422885572139,2.11578947368421
"Salmon","1997"," SOUTH COAST ","23","SOCKEYE",116177,397135,52269,3.4183616378457,2.22267500813101
"Salmon","1997"," SOUTH COAST ","24","SOCKEYE",2353,8813,1115,3.74543136421589,2.11031390134529
"Salmon","1997"," SOUTH COAST ","25","SOCKEYE",1738,8306,883,4.77905638665132,1.9682899207248
