Fishery,License Type,Fee,Year,Value (thousand $),Value,Source
Gillnet roe herring,HG,Reduced Fee,2003,-,,
Gillnet roe herring,HG,Reduced Fee,2004,115,115,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2005,112.5,112.5,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2006,27.5,27.5,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2007,25,25,"Nelson, Stuart, 2010. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2008,35,35,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2009,35,35,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2010,45,45,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2011,40,40,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2012,30,30,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2013,35,35,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2014,35,35,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2015,20,20,"Nelson, Stuart, 2015. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,1998,3.7,3.7,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,1999,18,18,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2000,16.5,16.5,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2001,-,,
Gillnet roe herring,HG,Lease,2002,16,16,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2003,-,,
Gillnet roe herring,HG,Lease,2004,15,15,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2005,8,8,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2006,3,3,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2007,2,2,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2008,4,4,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2009,3,3,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2010,4.5,4.5,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2011,0.5,0.5,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2012,1.25,1.25,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2013,3.25,3.25,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2014,1.5,1.5,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Lease,2015,0.25,0.25,"Nelson, Stuart, 2015. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,1998,350,350,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,1999,700,700,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2000,725,725,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2001,,,
Seine roe herring,HS,Full Fee,2002,725,725,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2003,,,
Seine roe herring,HS,Full Fee,2004,650,650,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2005,600,600,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2006,225,225,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2007,150,150,"Nelson, Stuart, 2010. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2008,140,140,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2009,160,160,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2010,175,175,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2011,125,125,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2012,115,115,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2013,90,90,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2014,80,80,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Full Fee,2015,50,50,"Nelson, Stuart, 2015. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,1998,300,300,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,1999,550,550,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2000,575,575,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2001,,,
Seine roe herring,HS,Reduced Fee,2002,650,650,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2003,,,
Seine roe herring,HS,Reduced Fee,2004,575,575,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2005,500,500,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2006,180,180,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2007,130,130,"Nelson, Stuart, 2010. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2008,120,120,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2009,130,130,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2010,150,150,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2011,110,110,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2012,100,100,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2013,80,80,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2014,75,75,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Reduced Fee,2015,45,45,"Nelson, Stuart, 2015. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,1998,25,25,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,1999,80,80,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2000,70,70,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2001,,,
Seine roe herring,HS,Lease,2002,70,70,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2003,,,
Seine roe herring,HS,Lease,2004,50,50,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2005,24,24,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2006,5,5,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2007,5,5,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2008,10,10,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2009,15,15,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2010,14,14,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2011,-,,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2012,-,,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2013,-,,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2014,-,,"Nelson, Stuart, 2015. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Seine roe herring,HS,Lease,2015,-,,"Nelson, Stuart, 2015. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
